set,indice
train,30789
train,13225
train,44377
train,27413
train,21538
train,12432
train,60202
train,42557
train,2713
train,31504
train,41348
train,58156
train,21127
train,25563
train,25593
train,46008
train,46414
train,28153
train,49040
train,46971
train,20538
train,9624
train,21044
train,1831
train,1454
train,54600
train,12546
train,23622
train,59075
train,12290
train,24354
train,59068
train,21830
train,35648
train,3271
train,29759
train,14762
train,61430
train,56884
train,22811
train,52288
train,22368
train,12757
train,61781
train,44944
train,24320
train,28785
train,32710
train,32977
train,3724
train,21149
train,53521
train,22038
train,61109
train,53943
train,12862
train,19556
train,59788
train,23644
train,22792
train,38205
train,47244
train,20406
train,52114
train,57868
train,29997
train,58634
train,22337
train,9397
train,1570
train,34445
train,50780
train,59331
train,42981
train,25776
train,28244
train,45191
train,19260
train,12094
train,27820
train,1606
train,36103
train,30671
train,45836
train,60739
train,57819
train,27984
train,21164
train,36232
train,43145
train,56902
train,23055
train,6016
train,30928
train,26856
train,5036
train,37039
train,10744
train,42653
train,28241
train,32142
train,40830
train,6127
train,20442
train,51311
train,46800
train,26740
train,59104
train,15331
train,8999
train,12547
train,6477
train,34562
train,58303
train,29237
train,20251
train,22501
train,54005
train,42137
train,3308
train,31801
train,13764
train,8457
train,16141
train,45186
train,59785
train,56233
train,6704
train,35721
train,50979
train,4075
train,56567
train,55860
train,9676
train,38002
train,31048
train,49337
train,60971
train,2654
train,44323
train,40245
train,6517
train,53838
train,26957
train,30487
train,7854
train,25413
train,51148
train,29227
train,28495
train,11148
train,39780
train,27455
train,520
train,9208
train,32422
train,55774
train,38311
train,48844
train,13679
train,40893
train,45264
train,2190
train,31264
train,3971
train,46434
train,53357
train,37932
train,34047
train,33137
train,36704
train,31632
train,56342
train,49892
train,56882
train,27627
train,43799
train,13756
train,17938
train,12145
train,8578
train,31974
train,38122
train,27089
train,20996
train,5295
train,29708
train,51332
train,16612
train,43038
train,46169
train,2938
train,16463
train,41272
train,6186
train,40259
train,38812
train,11677
train,2187
train,58742
train,36333
train,31208
train,52681
train,46455
train,32401
train,36675
train,58337
train,39582
train,22764
train,58390
train,50232
train,38094
train,25699
train,39367
train,52644
train,16273
train,59163
train,21507
train,12295
train,17879
train,24813
train,59666
train,23443
train,51957
train,15429
train,62
train,19363
train,8514
train,2838
train,59800
train,48241
train,19704
train,15304
train,18109
train,48868
train,27032
train,3909
train,43724
train,8394
train,25945
train,36443
train,30774
train,5132
train,57536
train,27802
train,3842
train,22066
train,61431
train,13020
train,20429
train,58
train,59522
train,57209
train,26921
train,1299
train,47983
train,52557
train,10755
train,25512
train,31862
train,26312
train,44958
train,24834
train,25240
train,16153
train,25469
train,35461
train,51776
train,11149
train,20369
train,8866
train,253
train,45656
train,17868
train,43182
train,46444
train,52377
train,18490
train,31296
train,45818
train,43872
train,26947
train,31793
train,7604
train,53916
train,29992
train,21756
train,32762
train,5286
train,28967
train,37548
train,45338
train,38784
train,58669
train,51590
train,25508
train,44570
train,44977
train,33295
train,44473
train,46253
train,9828
train,23288
train,14926
train,44376
train,12487
train,47247
train,36902
train,2820
train,27869
train,18439
train,38722
train,17556
train,14648
train,54414
train,3524
train,41537
train,50491
train,40205
train,55710
train,46391
train,43591
train,23335
train,24468
train,13179
train,7094
train,12272
train,19476
train,46731
train,49755
train,27930
train,40562
train,13074
train,39180
train,56625
train,12639
train,6379
train,51360
train,8891
train,22249
train,48745
train,26999
train,51736
train,29266
train,12461
train,59171
train,11250
train,53005
train,49537
train,7241
train,17752
train,41622
train,26024
train,60816
train,2804
train,2444
train,42662
train,47059
train,14372
train,6360
train,54245
train,1134
train,36563
train,26736
train,25257
train,2585
train,45189
train,16577
train,38325
train,42206
train,8601
train,31218
train,36839
train,45087
train,61488
train,46956
train,10138
train,23389
train,19495
train,39521
train,33367
train,31098
train,46262
train,5966
train,2644
